observation_date,Monthly_CPI,Monthly_Inflation,Monthly_Rate,Bank Rate
1978-02-01,5.38294741094039,0.9846768821,-1.532311793,9
1978-03-01,5.40115765254702,1.00338295,0.3382949937,9
1978-04-01,5.41572584580172,1.002697235,0.2697235332,9
1978-05-01,5.43393608737010,1.003362475,0.3362474779,9
1978-06-01,5.49949295705451,1.012064343,1.206434316,9
1978-07-01,5.55048163348422,1.009271523,0.927152318,9
1978-08-01,5.56869187505260,1.00328084,0.3280839893,9
1978-09-01,5.65245898634364,1.015042511,1.504251145,9
1978-10-01,5.72165790434173,1.012242268,1.224226804,9
1978-11-01,5.72165790434173,1,0,9
1978-12-01,5.63424874477526,0.9847231063,-1.52768937,9
1979-01-01,5.58690211665923,0.9915966387,-0.8403361346,9
1979-02-01,5.53591344022952,0.9908735332,-0.9126466755,9
1979-03-01,5.58690211665923,1.009210526,0.9210526317,9
1979-04-01,5.67066922791202,1.014993481,1.499348109,9
1979-05-01,5.70344766277335,1.005780347,0.5780346824,9
1979-06-01,5.80542501559452,1.017879949,1.787994891,9
1979-07-01,5.94018080331527,1.023212045,2.321204517,9
1979-08-01,6.05672634939114,1.019619865,1.961986511,9
1979-09-01,6.10771502582085,1.008418521,0.8418520747,9
1979-10-01,6.14049346068218,1.005366726,0.53667263,9
1979-11-01,6.19148213711189,1.008303677,0.8303677344,9
1979-12-01,6.29345948993306,1.016470588,1.647058823,9
1980-01-01,6.24247081350335,0.9918981481,-0.8101851853,9
1980-02-01,6.20605033036659,0.9941656943,-0.5834305714,9
1980-03-01,6.27524924836468,1.011150235,1.115023474,9
1980-04-01,6.30802768318776,1.005223447,0.5223447472,9
1980-05-01,6.42821527761556,1.019053118,1.905311778,9
1980-06-01,6.49377214733822,1.0101983,1.019830029,9
1980-07-01,6.62852793502072,1.020751542,2.075154234,9
1980-08-01,6.67951661145043,1.007692308,0.7692307693,9
1980-09-01,6.76328372270322,1.012540894,1.254089422,9
1980-10-01,6.82884059238763,1.009693053,0.9693053311,9
1980-11-01,6.91260770364042,1.012266667,1.226666666,9
1980-12-01,6.86526107556264,0.9931506849,-0.6849315064,9
1981-01-01,6.91260770364042,1.006896552,0.689655172,9
1981-02-01,7.03279529806822,1.017386723,1.738672287,9
1981-03-01,7.06557373292955,1.004660798,0.4660797517,9
1981-04-01,7.18211927904367,1.016494845,1.649484536,9
1981-05-01,7.28409663186484,1.014198783,1.419878296,9
1981-06-01,7.38607398472426,1.014,1.4,9
1981-07-01,7.52082977240676,1.018244576,1.824457594,10
1981-08-01,7.63737531852088,1.015496368,1.549636804,10
1981-09-01,7.67015375338221,1.004291845,0.4291845496,10
1981-10-01,7.73935267138030,1.009021842,0.9021842355,10
1981-11-01,7.77213110620338,1.004235294,0.4235294115,10
1981-12-01,7.73935267138030,0.995782568,-0.421743205,10
1982-01-01,7.72114242977367,0.9976470588,-0.235294118,10
1982-02-01,7.70657423651897,0.9981132075,-0.1886792452,10
1982-03-01,7.68836399495059,0.997637051,-0.2362948959,10
1982-04-01,7.72114242977367,1.004263382,0.4263382281,10
1982-05-01,7.77213110620338,1.006603774,0.6603773586,10
1982-06-01,7.90688689388588,1.017338332,1.733833177,10
1982-07-01,8.04164268160663,1.017042837,1.704283741,10
1982-08-01,8.20917690411221,1.020833333,2.083333333,10
1982-09-01,8.22738714571884,1.002218279,0.2218278619,10
1982-10-01,8.26016558054192,1.003984064,0.3984063743,10
1982-11-01,8.34393269183296,1.010141093,1.014109348,10
1982-12-01,8.36214293340134,1.002182453,0.2182453076,10
1983-01-01,8.32572245022633,0.9956445993,-0.4355400699,10
1983-02-01,8.41313160983105,1.010498688,1.049868767,10
1983-03-01,8.44591004465413,1.003896104,0.3896103894,10
1983-04-01,8.54788739751355,1.01207417,1.20741699,10
1983-05-01,8.76641029644884,1.02556455,2.556455049,10
1983-06-01,8.96672295385400,1.022850021,2.285002078,10
1983-07-01,9.10147874153650,1.015028432,1.502843217,10
1983-08-01,9.23623452921900,1.014805922,1.480592237,10
1983-09-01,9.32000164047179,1.009069401,0.9069400629,10
1983-10-01,9.38555851019445,1.007033998,0.7033997659,10
1983-11-01,9.43654718658591,1.005432674,0.5432673648,10
1983-12-01,9.40376875176283,0.9965264377,-0.3473562329,10
1984-01-01,9.47296766976092,1.007358637,0.7358636715,10
1984-02-01,9.43654718658591,0.9961553249,-0.3844675127,10
1984-03-01,9.38555851019445,0.9945966808,-0.5403319178,10
1984-04-01,9.40376875176283,1.001940241,0.1940240589,10
1984-05-01,9.45475742819254,1.005422153,0.542215337,10
1984-06-01,9.65507008555945,1.021186441,2.118644068,10
1984-07-01,9.84081454967166,1.019238023,1.923802339,10
1984-08-01,9.85902479124004,1.001850481,0.1850481124,10
1984-09-01,9.91001346766975,1.005171777,0.5171776875,10
1984-10-01,9.96100214409946,1.005145167,0.5145167219,10
1984-11-01,10.00834877221550,1.004753199,0.475319927,10
1984-12-01,9.89180322610137,0.9883551674,-1.164483261,10
1985-01-01,9.89180322610137,1,0,10
1985-02-01,9.84081454967166,0.9948453608,-0.5154639176,10
1985-03-01,9.85902479124004,1.001850481,0.1850481124,10
1985-04-01,9.99378057892254,1.013668267,1.366826745,10
1985-05-01,10.09211588346830,1.00983965,0.9839650147,10
1985-06-01,10.19409323632770,1.010104655,1.010465536,10
1985-07-01,10.34705926557860,1.015005359,1.500535905,10
1985-08-01,10.39804794200830,1.004927842,0.492784231,10
1985-09-01,10.41261613526300,1.001401051,0.1401050787,10
1985-10-01,10.51459348812240,1.009793634,0.9793634139,10
1985-11-01,10.59836059937520,1.007966747,0.7966747487,10
1985-12-01,10.59836059937520,1,0,10
1986-01-01,10.58015035780680,0.9982817869,-0.1718213057,10
1986-02-01,10.64934927580490,1.006540448,0.6540447504,10
1986-03-01,10.73311638705770,1.007865937,0.7865937071,10
1986-04-01,10.81688349834870,1.007804547,0.7804546999,10
1986-05-01,10.95163928603120,1.012457912,1.245791246,10
1986-06-01,11.06818483214540,1.010641836,1.064183572,10
1986-07-01,11.23936110300290,1.015465614,1.546561369,10
1986-08-01,11.30491797268730,1.005832793,0.583279326,10
1986-09-01,11.37411689068540,1.006121134,0.612113402,10
1986-10-01,11.52344087162260,1.013128402,1.312840218,10
1986-11-01,11.63998641773670,1.01011378,1.011378003,10
1986-12-01,11.57442954805230,0.99436796,-0.563204005,10
1987-01-01,11.57442954805230,1,0,10
1987-02-01,11.54165111322920,0.9971680302,-0.2831969791,10
1987-03-01,11.54165111322920,1,0,10
1987-04-01,11.62541822448200,1.00725781,0.7257810034,10
1987-05-01,11.82573088184890,1.017230576,1.723057644,10
1987-06-01,12.02968558752950,1.017246689,1.724668925,10
1987-07-01,12.17900956850490,1.012412958,1.241295792,10
1987-08-01,12.38296427418550,1.016746411,1.674641148,10
1987-09-01,12.53228825516100,1.012058824,1.205882353,10
1987-10-01,12.61605536641380,1.006684103,0.6684103457,10
1987-11-01,12.69982247766660,1.006639723,0.6639722863,10
1987-12-01,12.65247584958880,0.9962718669,-0.3728133063,10
1988-01-01,12.66704404284350,1.00115141,0.1151410477,10
1988-02-01,12.60148717315910,0.9948246118,-0.5175388154,10
1988-03-01,12.66704404284350,1.005202312,0.5202312139,10
1988-04-01,12.83457826538730,1.013225992,1.322599195,10
1988-05-01,12.96933405306980,1.010499432,1.049943246,10
1988-06-01,13.15507851718200,1.01432182,1.432181971,10
1988-07-01,13.37360141611730,1.016611296,1.661129568,10
1988-08-01,13.45736852740840,1.006263617,0.626361656,10
1988-09-01,13.55934588022950,1.007577808,0.7577807847,10
1988-10-01,13.84706769720110,1.021219447,2.121944668,10
